Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
3.88E-06,3880.0,0.320,6.5340E-03,7.9359E+01
3.88E-06,3875.0,0.320,6.7620E-03,8.1917E+01
3.87E-06,3870.0,0.320,7.3604E-03,8.8936E+01
3.87E-06,3865.0,0.321,8.0989E-03,9.7606E+01
3.86E-06,3860.0,0.321,7.9940E-03,9.6093E+01
3.86E-06,3855.0,0.322,8.5085E-03,1.0201E+02
3.85E-06,3850.0,0.322,8.8274E-03,1.0556E+02
3.85E-06,3845.0,0.322,8.7801E-03,1.0472E+02
3.84E-06,3840.0,0.323,8.9756E-03,1.0678E+02
3.84E-06,3835.0,0.323,7.6916E-03,9.1264E+01
3.83E-06,3830.0,0.324,9.5925E-03,1.1352E+02
3.83E-06,3825.0,0.324,9.5056E-03,1.1220E+02
3.82E-06,3820.0,0.325,9.6550E-03,1.1367E+02
3.82E-06,3815.0,0.325,7.7569E-03,9.1082E+01
3.81E-06,3810.0,0.325,8.2451E-03,9.6560E+01
3.81E-06,3805.0,0.326,9.3049E-03,1.0869E+02
3.80E-06,3800.0,0.326,9.8592E-03,1.1486E+02
3.80E-06,3795.0,0.327,8.8692E-03,1.0305E+02
3.79E-06,3790.0,0.327,7.7564E-03,8.9886E+01
3.79E-06,3785.0,0.328,8.8123E-03,1.0185E+02
3.78E-06,3780.0,0.328,9.5746E-03,1.1037E+02
3.78E-06,3775.0,0.328,9.0521E-03,1.0407E+02
3.77E-06,3770.0,0.329,9.1243E-03,1.0463E+02
3.77E-06,3765.0,0.329,8.5502E-03,9.7782E+01
3.76E-06,3760.0,0.330,8.8633E-03,1.0109E+02
3.76E-06,3755.0,0.330,8.9918E-03,1.0229E+02
3.75E-06,3750.0,0.331,9.2903E-03,1.0540E+02
3.75E-06,3745.0,0.331,1.0331E-02,1.1690E+02
3.74E-06,3740.0,0.332,8.8494E-03,9.9864E+01
3.74E-06,3735.0,0.332,8.5837E-03,9.6607E+01
3.73E-06,3730.0,0.332,9.2707E-03,1.0406E+02
3.73E-06,3725.0,0.333,1.0698E-02,1.1976E+02
3.72E-06,3720.0,0.333,1.0376E-02,1.1584E+02
3.72E-06,3715.0,0.334,9.2254E-03,1.0272E+02
3.71E-06,3710.0,0.334,9.3640E-03,1.0398E+02
3.71E-06,3705.0,0.335,1.0770E-02,1.1927E+02
3.70E-06,3700.0,0.335,1.0878E-02,1.2015E+02
3.70E-06,3695.0,0.336,1.0132E-02,1.1160E+02
3.69E-06,3690.0,0.336,9.6922E-03,1.0647E+02
3.69E-06,3685.0,0.336,9.4380E-03,1.0340E+02
3.68E-06,3680.0,0.337,8.3312E-03,9.1024E+01
3.68E-06,3675.0,0.337,4.8286E-03,5.2613E+01
3.67E-06,3670.0,0.338,7.9003E-03,8.5848E+01
3.67E-06,3665.0,0.338,1.0253E-02,1.1111E+02
3.66E-06,3660.0,0.339,1.0914E-02,1.1795E+02
3.66E-06,3655.0,0.339,1.0978E-02,1.1832E+02
3.65E-06,3650.0,0.340,1.0123E-02,1.0880E+02
3.65E-06,3645.0,0.340,1.0599E-02,1.1361E+02
3.64E-06,3640.0,0.341,1.1480E-02,1.2272E+02
3.64E-06,3635.0,0.341,1.0299E-02,1.0979E+02
3.63E-06,3630.0,0.342,9.9550E-03,1.0583E+02
3.63E-06,3625.0,0.342,1.0239E-02,1.0855E+02
3.62E-06,3620.0,0.343,1.1614E-02,1.2279E+02
3.62E-06,3615.0,0.343,9.4726E-03,9.9871E+01
3.61E-06,3610.0,0.343,9.4787E-03,9.9659E+01
3.61E-06,3605.0,0.344,1.0359E-02,1.0861E+02
3.60E-06,3600.0,0.344,1.0262E-02,1.0730E+02
3.60E-06,3595.0,0.345,9.6700E-03,1.0083E+02
3.59E-06,3590.0,0.345,9.4523E-03,9.8283E+01
3.59E-06,3585.0,0.346,9.1671E-03,9.5053E+01
3.58E-06,3580.0,0.346,1.0187E-02,1.0533E+02
3.58E-06,3575.0,0.347,8.6444E-03,8.9133E+01
3.57E-06,3570.0,0.347,8.3376E-03,8.5730E+01
3.57E-06,3565.0,0.348,1.0851E-02,1.1126E+02
3.56E-06,3560.0,0.348,1.0795E-02,1.1038E+02
3.56E-06,3555.0,0.349,9.0581E-03,9.2357E+01
3.55E-06,3550.0,0.349,1.0538E-02,1.0714E+02
3.55E-06,3545.0,0.350,9.5432E-03,9.6756E+01
3.54E-06,3540.0,0.350,9.0310E-03,9.1305E+01
3.54E-06,3535.0,0.351,9.4556E-03,9.5328E+01
3.53E-06,3530.0,0.351,1.1127E-02,1.1186E+02
3.53E-06,3525.0,0.352,1.1428E-02,1.1456E+02
3.52E-06,3520.0,0.352,1.2122E-02,1.2117E+02
3.52E-06,3515.0,0.353,1.1494E-02,1.1457E+02
3.51E-06,3510.0,0.353,1.1963E-02,1.1891E+02
3.51E-06,3505.0,0.354,1.1809E-02,1.1704E+02
3.50E-06,3500.0,0.354,1.1917E-02,1.1778E+02
3.50E-06,3495.0,0.355,1.2265E-02,1.2087E+02
3.49E-06,3490.0,0.355,1.0419E-02,1.0238E+02
3.49E-06,3485.0,0.356,1.2094E-02,1.1850E+02
3.48E-06,3480.0,0.356,1.1224E-02,1.0966E+02
3.48E-06,3475.0,0.357,1.0943E-02,1.0661E+02
3.47E-06,3470.0,0.357,1.2264E-02,1.1914E+02
3.47E-06,3465.0,0.358,9.8179E-03,9.5100E+01
3.46E-06,3460.0,0.358,1.2530E-02,1.2102E+02
3.46E-06,3455.0,0.359,8.3089E-03,8.0019E+01
3.45E-06,3450.0,0.359,1.1153E-02,1.0710E+02
3.45E-06,3445.0,0.360,1.1318E-02,1.0837E+02
3.44E-06,3440.0,0.360,8.0348E-03,7.6709E+01
3.44E-06,3435.0,0.361,1.1553E-02,1.0998E+02
3.43E-06,3430.0,0.362,8.6892E-03,8.2475E+01
3.43E-06,3425.0,0.362,1.0006E-02,9.4697E+01
3.42E-06,3420.0,0.363,1.3165E-02,1.2423E+02
3.42E-06,3415.0,0.363,7.2774E-03,6.8472E+01
3.41E-06,3410.0,0.364,7.0802E-03,6.6421E+01
3.41E-06,3405.0,0.364,4.4594E-03,4.1712E+01
3.40E-06,3400.0,0.365,1.2509E-02,1.1666E+02
3.40E-06,3395.0,0.365,9.5465E-03,8.8772E+01
3.39E-06,3390.0,0.366,9.8552E-03,9.1373E+01
3.39E-06,3385.0,0.366,7.4896E-03,6.9236E+01
3.38E-06,3380.0,0.367,5.1115E-03,4.7112E+01
3.38E-06,3375.0,0.367,8.4560E-03,7.7708E+01
3.37E-06,3370.0,0.368,3.9389E-03,3.6090E+01
3.37E-06,3365.0,0.368,7.1907E-03,6.5689E+01
3.36E-06,3360.0,0.369,5.2402E-03,4.7729E+01
3.36E-06,3355.0,0.370,3.6308E-03,3.2972E+01
3.35E-06,3350.0,0.370,8.0277E-03,7.2683E+01
3.35E-06,3345.0,0.371,3.5408E-03,3.1963E+01
3.34E-06,3340.0,0.371,3.4602E-03,3.1142E+01
3.34E-06,3335.0,0.372,9.0694E-03,8.1381E+01
3.33E-06,3330.0,0.372,4.6616E-03,4.1704E+01
3.33E-06,3325.0,0.373,3.5187E-03,3.1385E+01
3.32E-06,3320.0,0.373,5.9987E-05,5.3344E-01
3.32E-06,3315.0,0.374,1.6133E-05,1.4303E-01
3.31E-06,3310.0,0.375,3.9235E-03,3.4680E+01
3.31E-06,3305.0,0.375,3.9416E-03,3.4735E+01
3.30E-06,3300.0,0.376,1.7794E-03,1.5633E+01
3.30E-06,3295.0,0.376,1.2234E-03,1.0716E+01
3.29E-06,3290.0,0.377,8.7571E-03,7.6473E+01
3.29E-06,3285.0,0.377,1.1128E-02,9.6882E+01
3.28E-06,3280.0,0.378,2.8644E-03,2.4862E+01
3.28E-06,3275.0,0.379,5.9265E-03,5.1283E+01
3.27E-06,3270.0,0.379,1.2186E-03,1.0513E+01
3.27E-06,3265.0,0.380,2.4465E-03,2.1041E+01
3.26E-06,3260.0,0.380,1.2248E-03,1.0502E+01
3.26E-06,3255.0,0.381,9.9378E-03,8.4947E+01
3.25E-06,3250.0,0.382,2.6067E-03,2.2213E+01
3.25E-06,3245.0,0.382,7.3409E-04,6.2364E+00
3.24E-06,3240.0,0.383,3.7464E-03,3.1729E+01
3.24E-06,3235.0,0.383,7.2940E-03,6.1584E+01
3.23E-06,3230.0,0.384,3.4080E-04,2.8685E+00
3.23E-06,3225.0,0.384,1.9875E-04,1.6677E+00
3.22E-06,3220.0,0.385,1.6089E-03,1.3458E+01
3.22E-06,3215.0,0.386,4.9752E-04,4.1488E+00
3.21E-06,3210.0,0.386,1.3634E-04,1.1334E+00
3.21E-06,3205.0,0.387,3.0973E-04,2.5668E+00
3.20E-06,3200.0,0.388,4.3843E-04,3.6220E+00
3.20E-06,3195.0,0.388,2.6927E-03,2.2176E+01
3.19E-06,3190.0,0.389,4.2388E-03,3.4800E+01
3.19E-06,3185.0,0.389,8.0823E-03,6.6147E+01
3.18E-06,3180.0,0.390,1.0621E-02,8.6651E+01
3.18E-06,3175.0,0.391,9.2302E-03,7.5067E+01
3.17E-06,3170.0,0.391,1.2516E-02,1.0147E+02
3.17E-06,3165.0,0.392,1.4017E-02,1.1328E+02
3.16E-06,3160.0,0.392,9.2320E-03,7.4374E+01
3.16E-06,3155.0,0.393,5.6366E-03,4.5266E+01
3.15E-06,3150.0,0.394,6.6744E-03,5.3430E+01
3.15E-06,3145.0,0.394,3.2517E-03,2.5948E+01
3.14E-06,3140.0,0.395,3.3241E-03,2.6442E+01
3.14E-06,3135.0,0.396,1.1446E-02,9.0757E+01
3.13E-06,3130.0,0.396,5.7614E-03,4.5538E+01
3.13E-06,3125.0,0.397,3.0289E-03,2.3864E+01
3.12E-06,3120.0,0.397,9.8197E-03,7.7119E+01
3.12E-06,3115.0,0.398,2.2677E-03,1.7752E+01
3.11E-06,3110.0,0.399,8.4569E-04,6.5991E+00
3.11E-06,3105.0,0.399,9.2155E-04,7.1680E+00
3.10E-06,3100.0,0.400,4.4010E-03,3.4122E+01
3.10E-06,3095.0,0.401,6.5510E-04,5.0627E+00
3.09E-06,3090.0,0.401,2.3805E-03,1.8337E+01
3.09E-06,3085.0,0.402,1.7671E-03,1.3568E+01
3.08E-06,3080.0,0.403,3.6224E-03,2.7724E+01
3.08E-06,3075.0,0.403,6.0221E-03,4.5940E+01
3.07E-06,3070.0,0.404,1.7492E-03,1.3301E+01
3.07E-06,3065.0,0.405,2.9113E-03,2.2065E+01
3.06E-06,3060.0,0.405,6.3012E-03,4.7601E+01
3.06E-06,3055.0,0.406,2.8947E-04,2.1796E+00
3.05E-06,3050.0,0.407,1.0321E-03,7.7460E+00
3.05E-06,3045.0,0.407,4.2090E-03,3.1485E+01
3.04E-06,3040.0,0.408,2.0242E-03,1.5092E+01
3.04E-06,3035.0,0.409,2.4986E-03,1.8568E+01
3.03E-06,3030.0,0.409,6.0753E-03,4.4999E+01
3.03E-06,3025.0,0.410,7.5031E-03,5.5392E+01
3.02E-06,3020.0,0.411,6.3369E-04,4.6628E+00
3.02E-06,3015.0,0.411,5.5551E-03,4.0740E+01
3.01E-06,3010.0,0.412,6.8479E-03,5.0055E+01
3.01E-06,3005.0,0.413,2.8906E-03,2.1059E+01
3.00E-06,3000.0,0.413,7.8472E-03,5.6978E+01
3.00E-06,2995.0,0.414,4.2755E-03,3.0941E+01
2.99E-06,2990.0,0.415,1.0280E-02,7.4146E+01
2.99E-06,2985.0,0.415,6.9628E-03,5.0053E+01
2.98E-06,2980.0,0.416,1.3381E-03,9.5868E+00
2.98E-06,2975.0,0.417,8.5429E-04,6.1000E+00
2.97E-06,2970.0,0.418,3.5233E-04,2.5074E+00
2.97E-06,2965.0,0.418,7.4379E-03,5.2754E+01
2.96E-06,2960.0,0.419,4.5971E-03,3.2495E+01
2.96E-06,2955.0,0.420,2.3361E-03,1.6457E+01
2.95E-06,2950.0,0.420,5.2276E-03,3.6703E+01
2.95E-06,2945.0,0.421,1.4489E-03,1.0138E+01
2.94E-06,2940.0,0.422,1.6273E-03,1.1348E+01
2.94E-06,2935.0,0.422,6.4903E-03,4.5106E+01
2.93E-06,2930.0,0.423,5.8858E-03,4.0766E+01
2.93E-06,2925.0,0.424,1.0835E-03,7.4788E+00
2.92E-06,2920.0,0.425,2.8948E-03,1.9913E+01
2.92E-06,2915.0,0.425,1.2581E-03,8.6247E+00
2.91E-06,2910.0,0.426,2.7220E-03,1.8596E+01
2.91E-06,2905.0,0.427,1.1096E-04,7.5546E-01
2.90E-06,2900.0,0.428,8.1152E-04,5.5062E+00
2.90E-06,2895.0,0.428,2.6643E-03,1.8015E+01
2.89E-06,2890.0,0.429,1.8623E-04,1.2549E+00
2.89E-06,2885.0,0.430,4.5332E-04,3.0440E+00
2.88E-06,2880.0,0.431,2.4724E-04,1.6545E+00
2.88E-06,2875.0,0.431,3.9170E-04,2.6121E+00
2.87E-06,2870.0,0.432,6.3129E-06,4.1951E-02
2.87E-06,2865.0,0.433,1.6763E-04,1.1101E+00
2.86E-06,2860.0,0.434,2.5356E-05,1.6733E-01
2.86E-06,2855.0,0.434,4.4867E-07,2.9505E-03
2.85E-06,2850.0,0.435,1.1566E-06,7.5793E-03
2.85E-06,2845.0,0.436,4.0575E-05,2.6496E-01
2.84E-06,2840.0,0.437,1.9609E-07,1.2760E-03
2.84E-06,2835.0,0.437,2.1276E-10,1.3796E-06
2.83E-06,2830.0,0.438,3.9008E-06,2.5205E-02
2.83E-06,2825.0,0.439,1.7605E-07,1.1335E-03
2.82E-06,2820.0,0.440,2.0548E-11,1.3183E-07
2.82E-06,2815.0,0.440,2.8685E-10,1.8339E-06
2.81E-06,2810.0,0.441,4.0233E-10,2.5630E-06
2.81E-06,2805.0,0.442,6.7478E-14,4.2833E-10
2.80E-06,2800.0,0.443,1.6484E-12,1.0426E-08
2.80E-06,2795.0,0.444,3.6205E-16,2.2818E-12
2.79E-06,2790.0,0.444,1.2170E-16,7.6428E-13
2.79E-06,2785.0,0.445,3.8866E-27,2.4321E-23
2.78E-06,2780.0,0.446,4.8067E-34,2.9970E-30
2.78E-06,2775.0,0.447,3.9990E-38,2.4845E-34
2.77E-06,2770.0,0.448,8.3791E-24,5.1869E-20
2.77E-06,2765.0,0.448,2.6777E-27,1.6516E-23
2.76E-06,2760.0,0.449,0.0000E+00,0.0000E+00
2.76E-06,2755.0,0.450,6.7262E-44,4.1188E-40
2.75E-06,2750.0,0.451,1.6648E-28,1.0157E-24
2.75E-06,2745.0,0.452,1.3146E-23,7.9916E-20
2.74E-06,2740.0,0.453,2.3314E-27,1.4121E-23
2.74E-06,2735.0,0.453,5.4888E-21,3.3124E-17
2.73E-06,2730.0,0.454,6.0734E-19,3.6518E-15
2.73E-06,2725.0,0.455,7.2935E-22,4.3694E-18
2.72E-06,2720.0,0.456,5.6052E-45,3.3457E-41
2.72E-06,2715.0,0.457,3.8557E-26,2.2930E-22
2.71E-06,2710.0,0.458,1.1250E-35,6.6657E-32
2.71E-06,2705.0,0.458,2.9315E-42,1.7305E-38
2.70E-06,2700.0,0.459,0.0000E+00,0.0000E+00
2.70E-06,2695.0,0.460,7.1284E-33,4.1770E-29
2.69E-06,2690.0,0.461,1.0226E-29,5.9699E-26
2.69E-06,2685.0,0.462,0.0000E+00,0.0000E+00
2.68E-06,2680.0,0.463,0.0000E+00,0.0000E+00
2.68E-06,2675.0,0.464,0.0000E+00,0.0000E+00
2.67E-06,2670.0,0.464,0.0000E+00,0.0000E+00
2.67E-06,2665.0,0.465,1.1123E-37,6.3734E-34
2.66E-06,2660.0,0.466,2.6068E-25,1.4881E-21
2.66E-06,2655.0,0.467,1.3133E-27,7.4687E-24
2.65E-06,2650.0,0.468,1.4295E-19,8.0990E-16
2.65E-06,2645.0,0.469,8.9988E-19,5.0791E-15
2.64E-06,2640.0,0.470,1.1750E-16,6.6069E-13
2.64E-06,2635.0,0.471,3.9027E-16,2.1861E-12
2.63E-06,2630.0,0.471,2.8026E-45,1.5640E-41
2.63E-06,2625.0,0.472,3.8687E-28,2.1507E-24
2.62E-06,2620.0,0.473,5.6505E-29,3.1293E-25
2.62E-06,2615.0,0.474,1.1196E-37,6.1767E-34
2.61E-06,2610.0,0.475,5.9447E-34,3.2671E-30
2.61E-06,2605.0,0.476,5.8053E-35,3.1783E-31
2.60E-06,2600.0,0.477,4.4912E-28,2.4494E-24
2.60E-06,2595.0,0.478,2.2838E-33,1.2408E-29
2.59E-06,2590.0,0.479,5.4793E-31,2.9654E-27
2.59E-06,2585.0,0.480,1.7194E-34,9.2694E-31
2.58E-06,2580.0,0.481,3.8214E-22,2.0522E-18
2.58E-06,2575.0,0.482,1.0786E-27,5.7699E-24
2.57E-06,2570.0,0.482,1.5258E-18,8.1305E-15
2.57E-06,2565.0,0.483,1.5955E-14,8.4689E-11
2.56E-06,2560.0,0.484,3.1020E-11,1.6401E-07
2.56E-06,2555.0,0.485,1.0435E-09,5.4958E-06
2.55E-06,2550.0,0.486,2.8222E-13,1.4805E-09
2.55E-06,2545.0,0.487,5.3758E-11,2.8091E-07
2.54E-06,2540.0,0.488,3.7716E-07,1.9631E-03
2.54E-06,2535.0,0.489,1.7502E-07,9.0740E-04
2.53E-06,2530.0,0.490,6.3593E-07,3.2840E-03
2.53E-06,2525.0,0.491,4.1393E-05,2.1291E-01
2.52E-06,2520.0,0.492,3.7054E-04,1.8984E+00
2.52E-06,2515.0,0.493,5.1880E-04,2.6475E+00
2.51E-06,2510.0,0.494,2.2163E-03,1.1265E+01
2.51E-06,2505.0,0.495,1.5191E-03,7.6905E+00
2.50E-06,2500.0,0.496,7.0642E-03,3.5620E+01
2.50E-06,2495.0,0.497,2.8772E-03,1.4450E+01
2.49E-06,2490.0,0.498,3.5113E-03,1.7564E+01
2.49E-06,2485.0,0.499,5.6102E-03,2.7950E+01
2.48E-06,2480.0,0.500,8.0395E-03,3.9892E+01
2.48E-06,2475.0,0.501,1.6455E-02,8.1321E+01
2.47E-06,2470.0,0.502,1.6727E-02,8.2331E+01
2.47E-06,2465.0,0.503,2.4148E-02,1.1838E+02
2.46E-06,2460.0,0.504,3.3363E-02,1.6289E+02
2.46E-06,2455.0,0.505,2.4853E-02,1.2085E+02
2.45E-06,2450.0,0.506,1.3611E-02,6.5914E+01
2.45E-06,2445.0,0.507,2.0798E-02,1.0031E+02
2.44E-06,2440.0,0.508,4.3249E-02,2.0773E+02
2.44E-06,2435.0,0.509,1.4878E-02,7.1170E+01
2.43E-06,2430.0,0.510,4.5099E-02,2.1485E+02
2.43E-06,2425.0,0.511,3.3078E-02,1.5693E+02
2.42E-06,2420.0,0.512,2.6590E-02,1.2563E+02
2.42E-06,2415.0,0.513,2.7300E-02,1.2845E+02
2.41E-06,2410.0,0.515,3.3813E-02,1.5844E+02
2.41E-06,2405.0,0.516,3.3599E-02,1.5679E+02
2.40E-06,2400.0,0.517,4.4150E-02,2.0517E+02
2.40E-06,2395.0,0.518,4.0594E-02,1.8786E+02
2.39E-06,2390.0,0.519,3.7109E-02,1.7101E+02
2.39E-06,2385.0,0.520,3.0826E-02,1.4146E+02
2.38E-06,2380.0,0.521,4.2552E-02,1.9446E+02
2.38E-06,2375.0,0.522,4.4147E-02,2.0090E+02
2.37E-06,2370.0,0.523,3.0817E-02,1.3965E+02
2.37E-06,2365.0,0.524,4.9409E-02,2.2296E+02
2.36E-06,2360.0,0.525,5.0237E-02,2.2574E+02
2.36E-06,2355.0,0.527,4.7473E-02,2.1241E+02
2.35E-06,2350.0,0.528,4.1536E-02,1.8506E+02
2.35E-06,2345.0,0.529,5.1400E-02,2.2804E+02
2.34E-06,2340.0,0.530,4.5836E-02,2.0248E+02
2.34E-06,2335.0,0.531,5.7967E-02,2.5498E+02
2.33E-06,2330.0,0.532,5.6824E-02,2.4888E+02
2.33E-06,2325.0,0.533,5.6215E-02,2.4516E+02
2.32E-06,2320.0,0.534,5.2031E-02,2.2594E+02
2.32E-06,2315.0,0.536,5.8141E-02,2.5138E+02
2.31E-06,2310.0,0.537,6.3870E-02,2.7496E+02
2.31E-06,2305.0,0.538,5.9171E-02,2.5363E+02
2.30E-06,2300.0,0.539,5.8824E-02,2.5105E+02
2.30E-06,2295.0,0.540,6.1265E-02,2.6033E+02
2.29E-06,2290.0,0.541,6.3220E-02,2.6747E+02
2.29E-06,2285.0,0.543,6.3080E-02,2.6572E+02
2.28E-06,2280.0,0.544,6.6288E-02,2.7801E+02
2.28E-06,2275.0,0.545,6.4021E-02,2.6732E+02
2.27E-06,2270.0,0.546,6.4867E-02,2.6967E+02
2.27E-06,2265.0,0.547,6.8137E-02,2.8202E+02
2.26E-06,2260.0,0.549,6.6929E-02,2.7579E+02
2.26E-06,2255.0,0.550,6.7690E-02,2.7770E+02
2.25E-06,2250.0,0.551,7.1937E-02,2.9381E+02
2.25E-06,2245.0,0.552,7.0838E-02,2.8804E+02
2.24E-06,2240.0,0.554,7.3118E-02,2.9599E+02
2.24E-06,2235.0,0.555,7.4299E-02,2.9943E+02
2.23E-06,2230.0,0.556,7.5773E-02,3.0400E+02
2.23E-06,2225.0,0.557,7.5453E-02,3.0136E+02
2.22E-06,2220.0,0.559,7.7730E-02,3.0906E+02
2.22E-06,2215.0,0.560,7.6273E-02,3.0191E+02
2.21E-06,2210.0,0.561,7.9315E-02,3.1253E+02
2.21E-06,2205.0,0.562,7.4010E-02,2.9031E+02
2.20E-06,2200.0,0.564,7.1202E-02,2.7803E+02
2.20E-06,2195.0,0.565,7.8992E-02,3.0705E+02
2.19E-06,2190.0,0.566,7.9068E-02,3.0594E+02
2.19E-06,2185.0,0.568,7.4550E-02,2.8715E+02
2.18E-06,2180.0,0.569,8.1808E-02,3.1366E+02
2.18E-06,2175.0,0.570,8.0448E-02,3.0703E+02
2.17E-06,2170.0,0.571,8.1996E-02,3.1151E+02
2.17E-06,2165.0,0.573,7.6310E-02,2.8857E+02
2.16E-06,2160.0,0.574,8.4170E-02,3.1682E+02
2.16E-06,2155.0,0.575,8.4840E-02,3.1787E+02
2.15E-06,2150.0,0.577,8.4639E-02,3.1565E+02
2.15E-06,2145.0,0.578,8.9486E-02,3.3217E+02
2.14E-06,2140.0,0.579,9.0767E-02,3.3536E+02
2.14E-06,2135.0,0.581,9.0044E-02,3.3113E+02
2.13E-06,2130.0,0.582,8.9774E-02,3.2860E+02
2.13E-06,2125.0,0.584,8.8632E-02,3.2290E+02
2.12E-06,2120.0,0.585,8.7588E-02,3.1759E+02
2.12E-06,2115.0,0.586,9.1673E-02,3.3084E+02
2.11E-06,2110.0,0.588,8.9654E-02,3.2202E+02
2.11E-06,2105.0,0.589,9.3153E-02,3.3301E+02
2.10E-06,2100.0,0.590,8.6133E-02,3.0645E+02
2.10E-06,2095.0,0.592,8.9747E-02,3.1779E+02
2.09E-06,2090.0,0.593,8.9100E-02,3.1400E+02
2.09E-06,2085.0,0.595,8.5102E-02,2.9847E+02
2.08E-06,2080.0,0.596,8.6812E-02,3.0301E+02
2.08E-06,2075.0,0.598,7.7443E-02,2.6901E+02
2.07E-06,2070.0,0.599,6.5676E-02,2.2704E+02
2.07E-06,2065.0,0.600,6.1875E-02,2.1287E+02
2.06E-06,2060.0,0.602,6.9193E-02,2.3689E+02
2.06E-06,2055.0,0.603,5.4906E-02,1.8707E+02
2.05E-06,2050.0,0.605,6.7927E-02,2.3031E+02
2.05E-06,2045.0,0.606,9.1074E-02,3.0728E+02
2.04E-06,2040.0,0.608,8.9781E-02,3.0144E+02
2.04E-06,2035.0,0.609,9.6386E-02,3.2203E+02
2.03E-06,2030.0,0.611,8.4856E-02,2.8212E+02
2.03E-06,2025.0,0.612,7.4010E-02,2.4485E+02
2.02E-06,2020.0,0.614,4.4981E-02,1.4808E+02
2.02E-06,2015.0,0.615,2.6648E-02,8.7291E+01
2.01E-06,2010.0,0.617,3.9748E-02,1.2956E+02
2.01E-06,2005.0,0.618,1.5001E-02,4.8652E+01
2.00E-06,2000.0,0.620,3.8156E-02,1.2313E+02
2.00E-06,1995.0,0.622,8.1190E-02,2.6070E+02
1.99E-06,1990.0,0.623,8.5613E-02,2.7353E+02
1.99E-06,1985.0,0.625,8.3063E-02,2.6405E+02
1.98E-06,1980.0,0.626,7.5512E-02,2.3884E+02
1.98E-06,1975.0,0.628,6.7857E-02,2.1354E+02
1.97E-06,1970.0,0.629,4.8847E-02,1.5294E+02
1.97E-06,1965.0,0.631,2.8563E-02,8.8978E+01
1.96E-06,1960.0,0.633,2.1906E-02,6.7894E+01
1.96E-06,1955.0,0.634,1.0036E-02,3.0946E+01
1.95E-06,1950.0,0.636,1.6727E-02,5.1315E+01
1.95E-06,1945.0,0.638,1.0863E-02,3.3154E+01
1.94E-06,1940.0,0.639,3.2821E-03,9.9657E+00
1.94E-06,1935.0,0.641,3.5935E-03,1.0855E+01
1.93E-06,1930.0,0.642,5.5242E-04,1.6601E+00
1.93E-06,1925.0,0.644,9.3615E-04,2.7987E+00
1.92E-06,1920.0,0.646,4.5069E-04,1.3404E+00
1.92E-06,1915.0,0.648,1.9947E-05,5.9016E-02
1.91E-06,1910.0,0.649,2.3045E-05,6.7826E-02
1.91E-06,1905.0,0.651,5.6667E-07,1.6591E-03
1.90E-06,1900.0,0.653,8.6221E-07,2.5112E-03
1.90E-06,1895.0,0.654,1.2947E-04,3.7509E-01
1.89E-06,1890.0,0.656,2.2333E-04,6.4361E-01
1.89E-06,1885.0,0.658,4.3890E-05,1.2582E-01
1.88E-06,1880.0,0.660,7.7505E-05,2.2100E-01
1.88E-06,1875.0,0.661,4.5130E-10,1.2800E-06
1.87E-06,1870.0,0.663,2.6662E-10,7.5219E-07
1.87E-06,1865.0,0.665,1.6982E-05,4.7654E-02
1.86E-06,1860.0,0.667,1.1151E-05,3.1124E-02
1.86E-06,1855.0,0.668,2.8396E-07,7.8831E-04
1.85E-06,1850.0,0.670,2.9993E-06,8.2816E-03
1.85E-06,1845.0,0.672,6.2658E-06,1.7208E-02
1.84E-06,1840.0,0.674,6.2703E-08,1.7127E-04
1.84E-06,1835.0,0.676,6.4190E-06,1.7438E-02
1.83E-06,1830.0,0.678,5.2041E-06,1.4061E-02
1.83E-06,1825.0,0.679,1.2744E-03,3.4244E+00
1.82E-06,1820.0,0.681,9.8755E-04,2.6391E+00
1.82E-06,1815.0,0.683,3.2816E-03,8.7215E+00
1.81E-06,1810.0,0.685,9.6911E-03,2.5614E+01
1.81E-06,1805.0,0.687,1.4815E-02,3.8941E+01
1.80E-06,1800.0,0.689,3.1828E-02,8.3197E+01
1.80E-06,1795.0,0.691,4.6931E-02,1.2200E+02
1.79E-06,1790.0,0.693,8.8904E-02,2.2982E+02
1.79E-06,1785.0,0.695,7.6981E-02,1.9789E+02
1.78E-06,1780.0,0.697,1.0050E-01,2.5690E+02
1.78E-06,1775.0,0.699,1.1484E-01,2.9191E+02
1.77E-06,1770.0,0.701,1.4172E-01,3.5820E+02
1.77E-06,1765.0,0.703,1.3284E-01,3.3387E+02
1.76E-06,1760.0,0.705,1.5998E-01,3.9980E+02
1.76E-06,1755.0,0.707,1.5301E-01,3.8021E+02
1.75E-06,1750.0,0.709,1.6566E-01,4.0931E+02
1.75E-06,1745.0,0.711,1.5481E-01,3.8031E+02
1.74E-06,1740.0,0.713,1.6818E-01,4.1080E+02
1.74E-06,1735.0,0.715,1.6154E-01,3.9231E+02
1.73E-06,1730.0,0.717,1.7407E-01,4.2031E+02
1.73E-06,1725.0,0.719,1.7808E-01,4.2751E+02
1.72E-06,1720.0,0.721,1.8698E-01,4.4628E+02
1.72E-06,1715.0,0.723,1.8965E-01,4.5002E+02
1.71E-06,1710.0,0.725,1.8790E-01,4.4327E+02
