Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
4.49E-07,449.0,2.762,1.5045E+00,2.4470E+02
4.48E-07,448.0,2.768,1.5081E+00,2.4420E+02
4.47E-07,447.0,2.774,1.4903E+00,2.4024E+02
4.46E-07,446.0,2.780,1.3108E+00,2.1036E+02
4.45E-07,445.0,2.787,1.4619E+00,2.3356E+02
4.44E-07,444.0,2.793,1.4084E+00,2.2400E+02
4.43E-07,443.0,2.799,1.4453E+00,2.2883E+02
4.42E-07,442.0,2.805,1.4250E+00,2.2460E+02
4.41E-07,441.0,2.812,1.3313E+00,2.0888E+02
4.40E-07,440.0,2.818,1.3499E+00,2.1084E+02
4.39E-07,439.0,2.825,1.1775E+00,1.8308E+02
4.38E-07,438.0,2.831,1.2238E+00,1.8941E+02
4.37E-07,437.0,2.838,1.3943E+00,2.1482E+02
4.36E-07,436.0,2.844,1.3659E+00,2.0948E+02
4.35E-07,435.0,2.851,1.2452E+00,1.9010E+02
4.34E-07,434.0,2.857,1.1352E+00,1.7251E+02
4.33E-07,433.0,2.864,1.2288E+00,1.8587E+02
4.32E-07,432.0,2.870,1.3207E+00,1.9885E+02
4.31E-07,431.0,2.877,7.9394E-01,1.1899E+02
4.30E-07,430.0,2.884,8.7462E-01,1.3047E+02
4.29E-07,429.0,2.890,1.0963E+00,1.6278E+02
4.28E-07,428.0,2.897,1.1839E+00,1.7497E+02
4.27E-07,427.0,2.904,1.1724E+00,1.7246E+02
4.26E-07,426.0,2.911,1.2135E+00,1.7767E+02
4.25E-07,425.0,2.918,1.2488E+00,1.8198E+02
4.24E-07,424.0,2.925,1.2117E+00,1.7574E+02
4.23E-07,423.0,2.931,1.2184E+00,1.7588E+02
4.22E-07,422.0,2.938,1.2583E+00,1.8079E+02
4.21E-07,421.0,2.945,1.2757E+00,1.8242E+02
4.20E-07,420.0,2.952,1.1232E+00,1.5985E+02
4.19E-07,419.0,2.959,1.2258E+00,1.7362E+02
4.18E-07,418.0,2.967,1.1777E+00,1.6601E+02
