Es/eV,AM1.5/W m^-2 eV^-1,AM15flux/m^-2eV^-1s^-1,flux_cumm(AM 1.5 or bb @ 5800 K),Flux_above_E, Jsc/mA*cm^-2
3.520,5.03E+01,8.9197E+19,-2.5315E+19,2.5315E+19,0.37
3.510,5.53E+01,9.8320E+19,-2.6252E+19,2.6252E+19,0.38
3.500,6.16E+01,1.0993E+20,-2.7293E+19,2.7293E+19,0.39
3.490,6.10E+01,1.0904E+20,-2.8388E+19,2.8388E+19,0.41
3.480,5.45E+01,9.7675E+19,-2.9422E+19,2.9422E+19,0.42
3.470,4.74E+01,8.5338E+19,-3.0337E+19,3.0337E+19,0.44
3.460,4.21E+01,7.5990E+19,-3.1144E+19,3.1144E+19,0.45
3.450,5.73E+01,1.0375E+20,-3.2042E+19,3.2042E+19,0.46
3.440,5.95E+01,1.0796E+20,-3.3101E+19,3.3101E+19,0.48
3.430,5.38E+01,9.7921E+19,-3.4130E+19,3.4130E+19,0.49
3.420,6.23E+01,1.1373E+20,-3.5188E+19,3.5188E+19,0.51
3.410,6.31E+01,1.1542E+20,-3.6334E+19,3.6334E+19,0.52
3.400,6.55E+01,1.2018E+20,-3.7512E+19,3.7512E+19,0.54
3.390,7.71E+01,1.4189E+20,-3.8823E+19,3.8823E+19,0.56
3.380,7.89E+01,1.4569E+20,-4.0261E+19,4.0261E+19,0.58
3.370,7.33E+01,1.3585E+20,-4.1668E+19,4.1668E+19,0.60
3.360,7.67E+01,1.4249E+20,-4.3060E+19,4.3060E+19,0.62
3.350,8.11E+01,1.5104E+20,-4.4528E+19,4.4528E+19,0.64
3.340,7.87E+01,1.4699E+20,-4.6018E+19,4.6018E+19,0.66
3.330,7.28E+01,1.3643E+20,-4.7435E+19,4.7435E+19,0.68
3.320,6.29E+01,1.1819E+20,-4.8708E+19,4.8708E+19,0.70
3.310,6.36E+01,1.1985E+20,-4.9898E+19,4.9898E+19,0.72
3.300,7.56E+01,1.4297E+20,-5.1212E+19,5.1212E+19,0.74
3.290,8.05E+01,1.5276E+20,-5.2691E+19,5.2691E+19,0.76
3.280,9.84E+01,1.8734E+20,-5.4391E+19,5.4391E+19,0.78
3.270,8.26E+01,1.5771E+20,-5.6116E+19,5.6116E+19,0.81
3.260,8.61E+01,1.6484E+20,-5.7729E+19,5.7729E+19,0.83
3.250,7.99E+01,1.5349E+20,-5.9321E+19,5.9321E+19,0.86
3.240,5.73E+01,1.1037E+20,-6.0640E+19,6.0640E+19,0.87
3.230,5.90E+01,1.1397E+20,-6.1762E+19,6.1762E+19,0.89
3.220,7.99E+01,1.5491E+20,-6.3106E+19,6.3106E+19,0.91
3.210,7.65E+01,1.4876E+20,-6.4625E+19,6.4625E+19,0.93
3.200,7.78E+01,1.5170E+20,-6.6127E+19,6.6127E+19,0.95
3.190,7.98E+01,1.5614E+20,-6.7666E+19,6.7666E+19,0.98
3.180,9.72E+01,1.9077E+20,-6.9401E+19,6.9401E+19,1.00
3.170,1.06E+02,2.0792E+20,-7.1394E+19,7.1394E+19,1.03
3.160,8.54E+01,1.6872E+20,-7.3277E+19,7.3277E+19,1.06
3.150,5.20E+01,1.0306E+20,-7.4636E+19,7.4636E+19,1.08
3.140,9.87E+01,1.9610E+20,-7.6132E+19,7.6132E+19,1.10
3.130,8.71E+01,1.7367E+20,-7.7981E+19,7.7981E+19,1.12
3.120,7.69E+01,1.5384E+20,-7.9618E+19,7.9618E+19,1.15
3.110,1.33E+02,2.6606E+20,-8.1718E+19,8.1718E+19,1.18
3.100,1.44E+02,2.8955E+20,-8.4496E+19,8.4496E+19,1.22
3.090,1.53E+02,3.0806E+20,-8.7484E+19,8.7484E+19,1.26
3.080,1.54E+02,3.1250E+20,-9.0587E+19,9.0587E+19,1.31
3.070,1.55E+02,3.1533E+20,-9.3726E+19,9.3726E+19,1.35
3.060,1.52E+02,3.0929E+20,-9.6849E+19,9.6849E+19,1.40
3.050,1.48E+02,3.0331E+20,-9.9912E+19,9.9912E+19,1.44
3.040,1.54E+02,3.1591E+20,-1.0301E+20,1.0301E+20,1.49
3.030,1.60E+02,3.3009E+20,-1.0624E+20,1.0624E+20,1.53
3.020,1.53E+02,3.1579E+20,-1.0947E+20,1.0947E+20,1.58
3.010,1.70E+02,3.5344E+20,-1.1281E+20,1.1281E+20,1.63
3.000,1.64E+02,3.4205E+20,-1.1629E+20,1.1629E+20,1.68
2.990,1.68E+02,3.5165E+20,-1.1976E+20,1.1976E+20,1.73
2.980,1.76E+02,3.6836E+20,-1.2336E+20,1.2336E+20,1.78
2.970,1.69E+02,3.5580E+20,-1.2698E+20,1.2698E+20,1.83
2.960,1.73E+02,3.6480E+20,-1.3058E+20,1.3058E+20,1.88
2.950,1.68E+02,3.5441E+20,-1.3418E+20,1.3418E+20,1.93
2.940,1.81E+02,3.8460E+20,-1.3787E+20,1.3787E+20,1.99
2.930,1.76E+02,3.7461E+20,-1.4167E+20,1.4167E+20,2.04
2.920,1.80E+02,3.8443E+20,-1.4547E+20,1.4547E+20,2.10
2.910,1.77E+02,3.7977E+20,-1.4929E+20,1.4929E+20,2.15
2.900,1.74E+02,3.7434E+20,-1.5306E+20,1.5306E+20,2.21
2.890,1.61E+02,3.4695E+20,-1.5666E+20,1.5666E+20,2.26
2.880,1.24E+02,2.6891E+20,-1.5974E+20,1.5974E+20,2.30
2.870,1.98E+02,4.3087E+20,-1.6324E+20,1.6324E+20,2.35
2.860,1.78E+02,3.8910E+20,-1.6734E+20,1.6734E+20,2.41
2.850,1.92E+02,4.2004E+20,-1.7139E+20,1.7139E+20,2.47
2.840,2.13E+02,4.6766E+20,-1.7583E+20,1.7583E+20,2.54
2.830,1.88E+02,4.1547E+20,-1.8024E+20,1.8024E+20,2.60
2.820,2.03E+02,4.4926E+20,-1.8457E+20,1.8457E+20,2.66
2.810,2.13E+02,4.7380E+20,-1.8918E+20,1.8918E+20,2.73
2.800,2.28E+02,5.0875E+20,-1.9409E+20,1.9409E+20,2.80
2.790,2.28E+02,5.1062E+20,-1.9919E+20,1.9919E+20,2.87
2.780,2.12E+02,4.7519E+20,-2.0412E+20,2.0412E+20,2.94
2.770,2.43E+02,5.4715E+20,-2.0923E+20,2.0923E+20,3.02
2.760,2.47E+02,5.5966E+20,-2.1476E+20,2.1476E+20,3.10
2.750,2.64E+02,6.0017E+20,-2.2056E+20,2.2056E+20,3.18
2.740,2.45E+02,5.5791E+20,-2.2635E+20,2.2635E+20,3.26
2.730,2.55E+02,5.8265E+20,-2.3206E+20,2.3206E+20,3.35
2.720,2.63E+02,6.0273E+20,-2.3798E+20,2.3798E+20,3.43
2.710,2.65E+02,6.0927E+20,-2.4404E+20,2.4404E+20,3.52
2.700,2.61E+02,6.0440E+20,-2.5011E+20,2.5011E+20,3.61
2.690,2.71E+02,6.2884E+20,-2.5628E+20,2.5628E+20,3.70
2.680,2.77E+02,6.4413E+20,-2.6264E+20,2.6264E+20,3.79
2.670,2.69E+02,6.2897E+20,-2.6901E+20,2.6901E+20,3.88
2.660,2.73E+02,6.3997E+20,-2.7535E+20,2.7535E+20,3.97
2.650,2.75E+02,6.4782E+20,-2.8179E+20,2.8179E+20,4.06
2.640,2.72E+02,6.4212E+20,-2.8824E+20,2.8824E+20,4.16
2.630,2.82E+02,6.6891E+20,-2.9480E+20,2.9480E+20,4.25
2.620,2.81E+02,6.6935E+20,-3.0149E+20,3.0149E+20,4.35
2.610,2.94E+02,7.0250E+20,-3.0835E+20,3.0835E+20,4.45
2.600,2.88E+02,6.9236E+20,-3.1532E+20,3.1532E+20,4.55
2.590,2.96E+02,7.1257E+20,-3.2235E+20,3.2235E+20,4.65
2.580,3.02E+02,7.2940E+20,-3.2956E+20,3.2956E+20,4.75
2.570,3.03E+02,7.3613E+20,-3.3688E+20,3.3688E+20,4.86
2.560,2.97E+02,7.2523E+20,-3.4419E+20,3.4419E+20,4.96
2.550,2.51E+02,6.1340E+20,-3.5088E+20,3.5088E+20,5.06
2.540,2.93E+02,7.2022E+20,-3.5755E+20,3.5755E+20,5.16
2.530,3.13E+02,7.7210E+20,-3.6501E+20,3.6501E+20,5.26
2.520,2.92E+02,7.2259E+20,-3.7249E+20,3.7249E+20,5.37
2.510,3.06E+02,7.6128E+20,-3.7991E+20,3.7991E+20,5.48
2.500,3.11E+02,7.7679E+20,-3.8760E+20,3.8760E+20,5.59
2.490,3.10E+02,7.7798E+20,-3.9537E+20,3.9537E+20,5.70
2.480,3.12E+02,7.8431E+20,-4.0318E+20,4.0318E+20,5.81
2.470,3.05E+02,7.6982E+20,-4.1095E+20,4.1095E+20,5.93
2.460,3.00E+02,7.6223E+20,-4.1861E+20,4.1861E+20,6.04
2.450,3.34E+02,8.5172E+20,-4.2668E+20,4.2668E+20,6.15
2.440,3.19E+02,8.1595E+20,-4.3502E+20,4.3502E+20,6.27
2.430,3.27E+02,8.3984E+20,-4.4330E+20,4.4330E+20,6.39
2.420,3.35E+02,8.6295E+20,-4.5181E+20,4.5181E+20,6.51
2.410,3.23E+02,8.3579E+20,-4.6031E+20,4.6031E+20,6.64
2.400,2.92E+02,7.5858E+20,-4.6828E+20,4.6828E+20,6.75
2.390,3.05E+02,7.9588E+20,-4.7605E+20,4.7605E+20,6.86
2.380,3.36E+02,8.8152E+20,-4.8444E+20,4.8444E+20,6.99
2.370,3.32E+02,8.7364E+20,-4.9321E+20,4.9321E+20,7.11
2.360,3.47E+02,9.1856E+20,-5.0218E+20,5.0218E+20,7.24
2.350,3.30E+02,8.7695E+20,-5.1115E+20,5.1115E+20,7.37
2.340,3.51E+02,9.3658E+20,-5.2022E+20,5.2022E+20,7.50
2.330,3.58E+02,9.5935E+20,-5.2970E+20,5.2970E+20,7.64
2.320,3.55E+02,9.5579E+20,-5.3928E+20,5.3928E+20,7.78
2.310,3.54E+02,9.5690E+20,-5.4884E+20,5.4884E+20,7.91
2.300,3.58E+02,9.7255E+20,-5.5849E+20,5.5849E+20,8.05
2.290,3.52E+02,9.5830E+20,-5.6814E+20,5.6814E+20,8.19
2.280,3.75E+02,1.0267E+21,-5.7807E+20,5.7807E+20,8.34
2.270,3.69E+02,1.0155E+21,-5.8828E+20,5.8828E+20,8.48
2.260,3.73E+02,1.0307E+21,-5.9851E+20,5.9851E+20,8.63
2.250,3.78E+02,1.0480E+21,-6.0890E+20,6.0890E+20,8.78
2.240,3.81E+02,1.0623E+21,-6.1945E+20,6.1945E+20,8.93
2.230,3.83E+02,1.0714E+21,-6.3012E+20,6.3012E+20,9.09
2.220,3.74E+02,1.0507E+21,-6.4073E+20,6.4073E+20,9.24
2.210,3.94E+02,1.1140E+21,-6.5156E+20,6.5156E+20,9.40
2.200,3.90E+02,1.1064E+21,-6.6266E+20,6.6266E+20,9.56
2.190,3.77E+02,1.0743E+21,-6.7356E+20,6.7356E+20,9.71
2.180,3.88E+02,1.1119E+21,-6.8449E+20,6.8449E+20,9.87
2.170,3.87E+02,1.1120E+21,-6.9561E+20,6.9561E+20,10.03
2.160,4.01E+02,1.1596E+21,-7.0697E+20,7.0697E+20,10.19
2.150,4.01E+02,1.1631E+21,-7.1858E+20,7.1858E+20,10.36
2.140,4.03E+02,1.1756E+21,-7.3028E+20,7.3028E+20,10.53
2.130,4.20E+02,1.2295E+21,-7.4230E+20,7.4230E+20,10.70
2.120,4.23E+02,1.2462E+21,-7.5468E+20,7.5468E+20,10.88
2.110,4.19E+02,1.2401E+21,-7.6711E+20,7.6711E+20,11.06
2.100,3.98E+02,1.1842E+21,-7.7923E+20,7.7923E+20,11.24
2.090,4.13E+02,1.2331E+21,-7.9132E+20,7.9132E+20,11.41
2.080,4.23E+02,1.2692E+21,-8.0383E+20,8.0383E+20,11.59
2.070,4.23E+02,1.2754E+21,-8.1656E+20,8.1656E+20,11.77
2.060,4.20E+02,1.2730E+21,-8.2930E+20,8.2930E+20,11.96
2.050,4.40E+02,1.3389E+21,-8.4236E+20,8.4236E+20,12.15
2.040,4.43E+02,1.3561E+21,-8.5583E+20,8.5583E+20,12.34
2.030,4.40E+02,1.3534E+21,-8.6938E+20,8.6938E+20,12.54
2.020,4.33E+02,1.3374E+21,-8.8283E+20,8.8283E+20,12.73
2.010,4.34E+02,1.3485E+21,-8.9626E+20,8.9626E+20,12.92
2.000,4.57E+02,1.4265E+21,-9.1014E+20,9.1014E+20,13.12
1.990,4.44E+02,1.3912E+21,-9.2423E+20,9.2423E+20,13.33
1.980,4.47E+02,1.4083E+21,-9.3822E+20,9.3822E+20,13.53
1.970,4.48E+02,1.4208E+21,-9.5237E+20,9.5237E+20,13.73
1.960,4.59E+02,1.4609E+21,-9.6678E+20,9.6678E+20,13.94
1.950,4.62E+02,1.4788E+21,-9.8148E+20,9.8148E+20,14.15
1.940,4.81E+02,1.5474E+21,-9.9661E+20,9.9661E+20,14.37
1.930,4.81E+02,1.5561E+21,-1.0121E+21,1.0121E+21,14.59
