Es/eV,AM1.5/W m^-2 eV^-1,AM15flux/m^-2eV^-1s^-1,flux_cumm(AM 1.5 or bb @ 5800 K),Flux_above_E, Jsc/mA*cm^-2
0.890,1.65E-01,1.1578E+18,-3.2578E+21,3.2578E+21,46.98
0.880,9.70E-01,6.8770E+18,-3.2579E+21,3.2579E+21,46.98
0.870,4.33E+01,3.1051E+20,-3.2595E+21,3.2595E+21,47.00
0.860,5.99E+01,4.3442E+20,-3.2632E+21,3.2632E+21,47.05
0.850,2.72E+02,1.9967E+21,-3.2753E+21,3.2753E+21,47.23
0.840,1.21E+02,9.0085E+20,-3.2898E+21,3.2898E+21,47.44
0.830,3.66E+02,2.7507E+21,-3.3081E+21,3.3081E+21,47.70
0.820,4.74E+02,3.6104E+21,-3.3399E+21,3.3399E+21,48.16
0.810,5.06E+02,3.9011E+21,-3.3774E+21,3.3774E+21,48.70
0.800,5.23E+02,4.0815E+21,-3.4174E+21,3.4174E+21,49.28
0.790,4.90E+02,3.8725E+21,-3.4571E+21,3.4571E+21,49.85
0.780,4.88E+02,3.9054E+21,-3.4960E+21,3.4960E+21,50.41
0.770,4.63E+02,3.7513E+21,-3.5343E+21,3.5343E+21,50.96
0.760,5.11E+02,4.2004E+21,-3.5741E+21,3.5741E+21,51.54
0.750,4.86E+02,4.0459E+21,-3.6153E+21,3.6153E+21,52.13
0.740,4.81E+02,4.0535E+21,-3.6558E+21,3.6558E+21,52.71
0.730,4.80E+02,4.1041E+21,-3.6966E+21,3.6966E+21,53.30
0.720,4.38E+02,3.7963E+21,-3.7361E+21,3.7361E+21,53.87
0.710,3.89E+02,3.4188E+21,-3.7721E+21,3.7721E+21,54.39
0.700,3.39E+02,3.0247E+21,-3.8044E+21,3.8044E+21,54.86
0.690,1.06E+02,9.5579E+20,-3.8243E+21,3.8243E+21,55.14
0.680,3.19E+00,2.9316E+19,-3.8292E+21,3.8292E+21,55.22
0.670,7.16E-03,6.6707E+16,-3.8293E+21,3.8293E+21,55.22
0.660,1.68E-01,1.5844E+18,-3.8293E+21,3.8293E+21,55.22
0.650,3.73E-02,3.5846E+17,-3.8294E+21,3.8294E+21,55.22
0.640,1.04E+01,1.0152E+20,-3.8299E+21,3.8299E+21,55.23
0.630,1.31E+02,1.2943E+21,-3.8368E+21,3.8368E+21,55.33
0.620,1.23E+02,1.2396E+21,-3.8495E+21,3.8495E+21,55.51
0.610,3.04E+02,3.1145E+21,-3.8713E+21,3.8713E+21,55.82
0.600,2.18E+02,2.2636E+21,-3.8982E+21,3.8982E+21,56.21
0.590,3.15E+02,3.3373E+21,-3.9262E+21,3.9262E+21,56.61
0.580,3.34E+02,3.5901E+21,-3.9608E+21,3.9608E+21,57.11
0.570,3.08E+02,3.3684E+21,-3.9956E+21,3.9956E+21,57.62
0.560,3.03E+02,3.3818E+21,-4.0294E+21,4.0294E+21,58.10
0.550,2.79E+02,3.1680E+21,-4.0621E+21,4.0621E+21,58.57
0.540,2.58E+02,2.9812E+21,-4.0929E+21,4.0929E+21,59.02
0.530,2.06E+02,2.4311E+21,-4.1199E+21,4.1199E+21,59.41
0.520,1.46E+02,1.7468E+21,-4.1408E+21,4.1408E+21,59.71
0.510,1.75E+02,2.1460E+21,-4.1603E+21,4.1603E+21,59.99
0.500,3.99E+01,4.9797E+20,-4.1735E+21,4.1735E+21,60.18
0.490,2.99E-03,3.8118E+16,-4.1760E+21,4.1760E+21,60.22
0.480,6.83E-19,8.8835E+00,-4.1760E+21,4.1760E+21,60.22
0.470,1.18E-12,1.5662E+07,-4.1760E+21,4.1760E+21,60.22
0.460,3.63E-29,4.9271E-10,-4.1760E+21,4.1760E+21,60.22
0.450,3.66E-40,5.0770E-21,-4.1760E+21,4.1760E+21,60.22
0.440,7.50E-07,1.0640E+13,-4.1760E+21,4.1760E+21,60.22
0.430,2.69E+00,3.9032E+19,-4.1762E+21,4.1762E+21,60.22
0.420,2.71E+01,4.0204E+20,-4.1784E+21,4.1784E+21,60.25
0.410,4.92E+01,7.4920E+20,-4.1841E+21,4.1841E+21,60.33
0.400,3.41E+01,5.3242E+20,-4.1905E+21,4.1905E+21,60.43
0.390,8.55E+01,1.3678E+21,-4.2000E+21,4.2000E+21,60.56
0.380,1.72E+01,2.8188E+20,-4.2083E+21,4.2083E+21,60.68
0.370,6.19E+01,1.0448E+21,-4.2149E+21,4.2149E+21,60.78
0.360,1.05E+02,1.8179E+21,-4.2292E+21,4.2292E+21,60.98
0.350,9.44E+01,1.6838E+21,-4.2468E+21,4.2468E+21,61.24
0.340,1.12E+02,2.0492E+21,-4.2654E+21,4.2654E+21,61.51
0.330,1.02E+02,1.9230E+21,-4.2853E+21,4.2853E+21,61.79
0.320,8.19E+01,1.5978E+21,-4.3029E+21,4.3029E+21,62.05
0.310,9.17E+01,1.8464E+21,-4.3201E+21,4.3201E+21,62.29
